"productId","brand","name","description","categoryId"
"b051f2d3-b7f1-4b02-9771-86e4c9dac530","Gibson","Les Paul Standard 60's","The Gibson Limited-Edition Les Paul Standard ’60s electric guitar marks a welcome return for a guitar that had a limited run in the first place. The original production ended in 1961 with Gibson only making 1,700 of these instruments. That makes this edition all the more desirable. Finished in breathtaking Tri-Burst, this Les Paul Standard features a mahogany body topped with AA grade flame maple. Powered by dual Burstbuckers with period-correct orange drop caps, it's a perfect guitar for players who want a classic Les Paul without having to pay a vintage price.","a872a473-1ae1-4897-b0bb-23dfdac5be24"
"0e49698b-c198-4a41-8b5e-c8f6bbe770e5","Gibson","Gibson Les Paul Axcess Custom Floyd Rose Electric Guitar Ebony","The Gibson Les Paul Axcess Custom electric guitar reimagines the iconic original. Featuring the Apex headstock for added strength, redesigned contours for added comfort and fretboard access and powerful coil-tapped humbuckers, this Les Paul Custom delivers on style, power and versatile tone. A Floyd Rose tremolo and locking nut provide tuning stability during the craziest dive bombs, while the solid ebony fingerboard retains clarity in every note and chord. At its core, the Les Paul Axcess is a Custom Shop \"Black Beauty\" with show-stopping looks, pearl appointments and gold hardware.","a872a473-1ae1-4897-b0bb-23dfdac5be24"
"5ce3acda-79d6-448f-9388-fc05554eca02","Fender","Fender Player Series Stratocaster Maple Fingerboard Electric Guitar Black","Over the decades, players have been continually inspired by the sound of a Strat. From the clarity of the high end, through the gut punch of the mids and the solid lows, it's a sound that's helped define what an electric guitar should be—versatile enough for any style and broad enough for any player to find an individual voice. This Player Series Stratocaster puts all of the classic features of the Strat at your fingertips while adding a modern edge, including a modern neck profile, medium-jumbo frets and a freshly redesigned 2-point fulcrum vibrato bridge. With a beautiful gloss finish over a solid alder body, a 22-fret pau ferro fingerboard with a contemporary 9.5 inch radius for easy bending, the Player Series Stratocaster is primed and ready to carry you along your musical voyage.","a872a473-1ae1-4897-b0bb-23dfdac5be24"
"3c48efc6-1698-442d-b982-836f0e2b77a5","B.C. Rich","B.C. Rich Warlock Extreme with Floyd Rose Electric Guitar Matte White","This Warlock comes to play, with dressed-up abalone binding and Fishman Fluence humbuckers. One of the originals in non-traditional body shapes is back with a vengeance.","a872a473-1ae1-4897-b0bb-23dfdac5be24"
"c8a22410-1b99-460f-a4d5-8ce3715efc6f","Fender","Fender MonoNeon Jazz Bass V Fluorescent Yellow","This bass features an alder body finished in an eye-popping neon yellow urethane finish, complemented by a neon orange painted headstock and pickguard. The 22-fret one-piece roasted maple neck features a 10–14 inch compound radius fingerboard and elegant white pearl block inlays. Custom-wound Fireball 5-string bass humbucking pickups deliver fat, punchy tone while the 18V active preamp with 3-band EQ provides flexible tone shaping for any style of music. The Fender HiMass string-through/top-load bridge provides increased resonance and sustain, and the gold hardware adds to the distinctive look of this stunning bass.","be63e17e-b690-4722-9312-31a2d079dc2f"
"742fa865-6052-42fa-bfed-0fc1d2b6bdda","Yamaha","Yamaha Stage Custom Birch 5-Piece Shell Pack With 22\" Bass Drum Deep Blue Sunburst","This Yamaha Stage Custom birch drum shell pack is also great for the beginner or the working professional. The staggered diagonal seam allowed Yamaha to build a thin drum shell that will start round and stay round. The low-mass lugs lets the shell vibrate for superb tone and sustain. Yamaha's Air Seal System used for drum shell construction ensures each and every Yamaha drum shell is of uniform thickness and is perfectly round to achieve superior tone quality and durability.","be63e17e-b690-4722-9312-31a2d079dc2f"
"5985e75c-d0c0-4e4f-8b80-666a0ae1d06d","DW","DW Collector's Series 4-Piece Shell Pack Ebony Chrome Hardware","DW's flagship line, the Collector' Series, are the original US-made custom drums. For years, drum makers have preferred maple for its resonant tonal qualities. Maple is a traditional shell material that provides low-end punch, warmth and attack. This DW Shell Pack features North American Maple shells with 3-ply reinforcement hoops. Toms 8-13\" are 6-ply, while 14\" and bigger are 7-ply. Bass drums are 7-ply and snare drums are 10-ply (with 6-ply reinforcement hoops).","be63e17e-b690-4722-9312-31a2d079dc2f"
"c24fec47-723f-4d37-8135-c88e70046a11","TAMA","TAMA Club-JAM 4-Piece Pancake Kit With 18\" Bass Drum Burnt Red Mist Chrome Shell Hardware","This TAMA Club-JAM Pancake Kit combines compact portability with professional-quality sound and reliable durability. With a lightweight and minimalist design, the Club-JAM Pancake Kit contains a 3.5\" deep tom, floor tom, 4\" deep snare drum and a bass drum that can all be easily packed into a single bag thanks to their ultrashallow shells. The single-headed toms produce a crisp, warm sound with a strong attack, while the double-headed snare drum delivers a bright, sharp sound. Combined with significant low end from the double-headed bass drum, the Pancake Kit is excellent for a wide range of genres and styles. Whether you're playing live or in the studio, the Club-JAM Pancake Kit delivers a unique and satisfying musical experience.","a89e54e5-364f-430d-b9a9-dfb6b04b21c6"
"f6281c53-7d9f-4616-bc80-7f6605dddbee","Roland","Roland FP-30X 88-Key Digital Piano Black","When quality counts but budget is a factor, the FP-30X is the sweet spot of Roland’s FP-X series. Balancing affordability with superior performance, this slim and stylish portable piano builds on the entry-level FP-10, with an enhanced sound engine, more powerful onboard speakers and increased polyphony. Featuring Roland’s SuperNATURAL Piano technology and the same expressive 88-note PHA-4 Standard keyboard as the premium FP-60X, the FP-30X is the perfect home instrument for seasoned players. And with its easy-to-transport weight and Bluetooth connectivity for lessons and play-along audio, it’s an ideal choice for any pianist who wants to develop their skills or perform at small events.","a89e54e5-364f-430d-b9a9-dfb6b04b21c6"
"46da479e-bb59-4cbc-91ac-2d7e8135c1b8","Yamaha","Yamaha P-125A 88-Key Digital Piano White","The Yamaha P-125A digital piano offers a user-friendly, approachable instrument everyone can play. Beginner and intermediate players will find the touch and tone perfect for their burgeoning repertoire, while more advanced players will enjoy the gig-ready portability. The Pure CF Sound Engine faithfully reproduces the tone of a meticulously sampled, acclaimed Yamaha 9' CFIIIS concert grand piano, allowing for incredibly dynamic and expressive playing. The String Resonance feature even recreates the sympathetic sounds of other strings resonating, just like the behavior of acoustic pianos, while Damper Resonance DSP recreates the sound of the inside of a grand piano when the dampers are off the strings. Key-off samples deliver the delicate change in sound the instant the damper falls back to the string. The P-125A also allows MIDI connectivity to your USB-equipped computer or iOS device and Sound Boost adds some EQ and volume for enhanced projection.","a89e54e5-364f-430d-b9a9-dfb6b04b21c6"
